divergence,length,pred_hw,n_doublings_neural,n_doublings_fixed30,n_doublings_fixed100,t_neural_ms,t_fixed30_ms,t_fixed100_ms,speedup_vs_30,speedup_vs_100,score_neural,score_fixed100,score_match
0.1,318,7,0,0,0,0.2241000038338825,1.37420000100974,3.5426000104052946,6.132083790718657,15.808121150374008,256.0,256.0,True
0.1,377,7,0,0,0,0.363900006050244,1.6619999951217324,4.465999998501502,4.567188698788476,12.272602155123014,303.0,303.0,True
0.1,449,7,0,0,0,0.3077999863307923,1.8450000061420724,5.476899998029694,5.994152332934976,17.79369798978378,361.0,361.0,True
0.1,908,9,0,0,0,0.6730000022798777,3.730100012035109,11.025500003597699,5.542496284396576,16.38261510586529,728.0,728.0,True
0.1,496,7,0,0,0,0.3181000065524131,2.027300011832267,6.010699988109991,6.3731530024292224,18.895629878333914,398.0,398.0,True
0.1,982,9,0,0,0,0.8902999979909509,5.055300003732555,14.962399989599362,5.678198377109214,16.806020468789715,786.0,786.0,True
0.1,289,7,0,0,0,0.25630000163801014,1.521300000604242,3.2961999968392774,5.935622282019636,12.860710010820538,233.0,233.0,True
0.1,310,7,0,0,0,0.2175999979954213,1.3477000029524788,4.122499987715855,6.193474335329897,18.945312618075484,248.0,248.0,True
0.1,380,7,0,0,0,0.295300007564947,1.6259999974863604,4.472699991310947,5.506264665871182,15.146291489096019,304.0,304.0,True
0.1,714,8,0,0,0,0.6266999989748001,3.6862999986624345,10.01719999476336,5.882080747874171,15.98404341973863,572.0,572.0,True
0.1,833,9,0,0,0,0.7721000001765788,4.268699995009229,12.509799998952076,5.528687986054889,16.202305395792116,667.0,667.0,True
0.1,373,8,0,0,0,0.36950000503566116,1.9204000127501786,4.987000007531606,5.197293603730363,13.496616886514794,299.0,299.0,True
0.1,715,8,0,0,0,0.5622000026050955,3.2294999982696027,10.35720000800211,5.744396982043579,18.42262532908113,573.0,573.0,True
0.1,247,6,0,0,0,0.20850000146310776,1.262800011318177,3.2100000098580495,6.056594736003483,15.395683392482042,199.0,199.0,True
0.1,637,8,0,0,0,0.5171999946469441,2.7756999916164204,8.016100007807836,5.366782715284432,15.499033431506241,511.0,511.0,True
0.2,884,10,0,0,0,0.7845000072848052,4.066199995577335,12.551699997857213,5.183173942407805,15.999617439519588,532.0,532.0,True
0.2,235,7,0,0,0,0.2603999892016873,1.1799000058090314,3.010300002642907,4.531106200988223,11.560292348212593,141.0,141.0,True
0.2,860,11,0,0,0,0.9468999924138188,4.485099998419173,11.481499997898936,4.736614251084578,12.125356521157554,516.0,516.0,True
0.2,351,8,0,0,0,0.33819999953266233,1.8228999979328364,4.972400012775324,5.3900059149964195,14.702542932130031,211.0,211.0,True
0.2,449,9,0,0,0,0.4470000130822882,2.284200003487058,6.606199996895157,5.110066972339349,14.778970477745874,271.0,271.0,True
0.2,414,9,0,0,0,0.4130000015720725,2.1714000031352043,5.940300005022436,5.2576271062223565,14.383292935619508,250.0,250.0,True
0.2,262,7,0,0,0,0.24649999977555126,1.33790000109002,3.4053999988827854,5.427586216260588,13.815010150034674,158.0,158.0,True
0.2,539,10,0,0,0,0.556200000573881,2.8443999908631667,8.02589999511838,5.113987752478149,14.429881313983001,325.0,325.0,True
0.2,257,8,0,0,0,0.2565000031609088,1.3018000026931986,3.3660000044619665,5.075243612673748,13.122806873224057,155.0,155.0,True
0.2,508,8,0,0,0,0.4524999967543408,2.717099996516481,8.575100000598468,6.0046409193491685,18.950497374818394,306.0,306.0,True
0.2,915,12,0,0,0,1.058299996657297,4.348999995272607,12.246999991475604,4.109420777670962,11.572333015362824,549.0,549.0,True
0.2,920,10,0,0,0,0.8103000000119209,4.4101999956183136,12.487700005294755,5.442675546777036,15.411205732581807,552.0,552.0,True
0.2,594,10,0,0,0,0.6152999994810671,3.0881999991834164,8.545800010324456,5.019015117484071,13.888834743266422,358.0,358.0,True
0.2,648,9,0,0,0,0.6155000010039657,3.416899999137968,9.881999998469837,5.551421597992739,16.055239613892653,390.0,390.0,True
0.2,470,9,0,0,0,0.40190000436268747,2.142999990610406,6.088699999963865,5.3321721008902845,15.149788340059898,282.0,282.0,True
0.2,476,10,0,0,0,0.39319999632425606,2.047399990260601,5.930999992415309,5.2070193524930595,15.083926876551276,286.0,286.0,True
0.2,746,10,0,0,0,0.6138999888207763,3.5139999963575974,11.358999996446073,5.724059391347349,18.503013851271223,448.0,448.0,True
0.2,643,11,0,0,0,0.6366000015987083,2.9824000084772706,8.200100011890754,4.684888471548068,12.881087011149313,387.0,387.0,True
0.2,857,11,0,0,0,0.7803000044077635,3.5530000022845343,10.423400002764538,4.553376883524703,13.358195493893081,515.0,515.0,True
0.2,366,9,0,0,0,0.2896999940276146,1.5742999967187643,4.2706999956863,5.434242420345718,14.74180215302045,220.0,220.0,True
0.2,353,9,0,0,0,0.33830000029411167,1.5286999987438321,4.168100000242703,4.51877031455752,12.320721243331466,213.0,213.0,True
0.2,262,8,0,0,0,0.2570999931776896,1.3622999977087602,3.4434999979566783,5.298716584435042,13.393621506542674,158.0,158.0,True
0.2,395,10,0,0,0,0.4276000108802691,2.0668000070145354,5.6031999993138015,4.833489135698954,13.103835025118219,237.0,237.0,True
0.2,551,10,0,0,0,0.5766999965999275,2.892100004828535,8.246899989899248,5.014912470746664,14.300156127138573,331.0,331.0,True
0.2,200,7,0,0,0,0.22690001060254872,1.0056000028271228,2.489099992089905,4.431908135026888,10.970030303127475,120.0,120.0,True
